SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-1363,470.0,pF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/470pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-5704,470.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/470pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-1365,560.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/560pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6426,560.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/560-pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-1444,680.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/680pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1446,820.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/820pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1448,1000.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1000pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6424,1000.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1000-pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-1456,1500.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1500pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1457,2200.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/2200pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1459,2700.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/2700pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1460,3300.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/3300pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1462,4700.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/4700pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6371,4700.0,pF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/4700pf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-1465,5600.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/5600pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1468,6800.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/6800pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1470,8200.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/8200pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1366,0.01,μF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-01uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-4793,0.01,μF,50V,,VISHAY,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-01-uf-50v-axial-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-5548,0.01,μF,50V,,VISHAY,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/10nf-50v-multilayer-monolithic-ceramic-capacitor-2-5mm-vishay.html,MLCC (Multilayer Ceramic Capacitor)
A-6423,0.01,μF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-01-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-1471,0.015,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-015uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-5949,0.018,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-018-uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1472,0.022,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-022uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1473,0.027,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-027uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1474,0.033,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-033uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6851,33.0,nF,50V,,Get It Fast,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/33nf-50v-multilayer-ceramic-capacitor-pkg-of-10-aec.html,MLCC (Multilayer Ceramic Capacitor)
A-1475,0.047,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-047uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1476,0.056,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-056uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1477,0.068,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-068uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1478,0.082,μF,50V,,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-082uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-214,0.1,μF,50V,,Tayda Electronics,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-1uf-50v-multilayer-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-4794,0.1,μF,50V,,VISHAY,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-1-uf-50v-axial-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-949,0.1,μF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/a-949-0-1uf-50v-multilayer-monolithic-ceramic-capacitor-2-54mm.html,MLCC (Multilayer Ceramic Capacitor)
A-5459,0.1,μF,50V,,VISHAY,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/100nf-50v-multilayer-monolithic-ceramic-capacitor-2-54mm-vishay.html,MLCC (Multilayer Ceramic Capacitor)
A-5705,0.1,μF,50V,,JB CAPACITORS,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-1-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym-5705.html,MLCC (Multilayer Ceramic Capacitor)
A-1479,0.15,μF,50V,,AEC,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-15uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1367,0.22,μF,50V,,AEC,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-22uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-319,0.33,μF,50V,,AEC,Radial,th,0.18,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-33uf-50v-multilayer-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-142,0.47,μF,50V,,AEC,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-47uf-50v-multilayer-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1480,0.56,μF,50V,,AEC,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-56uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1482,0.68,μF,50V,,AEC,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-68uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-321,1.0,μF,50V,,Tayda Electronics,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1uf-50v-multilayer-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-5706,1.0,μF,50V,,JB CAPACITORS,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym-5705.html,MLCC (Multilayer Ceramic Capacitor)
A-3318,2.2,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/2-2uf-50v-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-3319,3.3,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/3-3uf-50v-multilayer-ceramic-capacitor-z5u.html,MLCC (Multilayer Ceramic Capacitor)
A-3320,4.7,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/4-7uf-50v-multilayer-ceramic-capacitor-y5v.html,MLCC (Multilayer Ceramic Capacitor)
A-3321,5.6,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/5-6uf-50v-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-3322,6.8,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/6-8uf-50v-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-3323,10.0,μF,50V,,Tayda Electronics,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/10uf-50v-multilayer-ceramic-capacitor-x7r.html,MLCC (Multilayer Ceramic Capacitor)
A-6422,10.0,μF,50V,,JB CAPACITORS,Radial,th,0.25,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/10-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym-5705.html,MLCC (Multilayer Ceramic Capacitor)
