SKU,Ohms,Ohms Unit,Tolerance,Wattage,Price,Link
A-2710,390.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/390-ohm-1w-5-carbon-film-resistor.html
A-2265,470.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-470-ohm-1w-5-carbon-film-pkg-of-10.html
A-2711,510.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/510-ohm-1w-5-carbon-film-resistor.html
A-2753,680.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-680-ohm-1w-5-carbon-film-pkg-of-10.html
A-2713,750.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/750-ohm-1w-5-carbon-film-resistor.html
A-2266,1.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-1k-ohm-1w-5-carbon-film-pkg-of-10.html
A-2714,1.5,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/1-5k-ohm-1w-5-carbon-film-resistor.html
A-2715,2.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/2k-ohm-1w-5-carbon-film-resistor.html
A-2716,2.7,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-2-7k-ohm-1w-5-carbon-film-pkg-of-10.html
A-2717,3.3,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/3-3k-ohm-1w-5-carbon-film-resistor.html
A-2718,3.9,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/3-9k-ohm-1w-5-carbon-film-resistor.html
A-2719,4.7,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/4-7k-ohm-1w-5-carbon-film-resistor.html
A-2720,5.6,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/5-6k-ohm-1w-5-carbon-film-resistor.html
A-2721,6.8,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/6-8k-ohm-1w-5-carbon-film-resistor.html
A-2722,7.5,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/7-5k-ohm-1w-5-carbon-film-resistor.html
A-6726,8.2,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/8-2-k-ohm-1w-5-carbon-film-resistor.html
A-2723,9.1,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/9-1k-ohm-1w-5-carbon-film-resistor.html
A-2267,10.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-10k-ohm-1w-5-carbon-film-pkg-of-10.html
A-2724,12.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/12k-ohm-1w-5-carbon-film-resistor.html
A-2725,15.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/15k-ohm-1w-5-carbon-film-resistor.html
A-2726,18.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/18k-ohm-1w-5-carbon-film-resistor.html
A-2727,22.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/22k-ohm-1w-5-carbon-film-resistor.html
A-2728,27.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/27k-ohm-1w-5-carbon-film-resistor.html
A-2729,30.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/30k-ohm-1w-5-carbon-film-resistor.html
A-2730,33.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/33k-ohm-1w-5-carbon-film-resistor.html
A-2731,39.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/39k-ohm-1w-5-carbon-film-resistor.html
A-2732,47.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-47k-ohm-1w-5-carbon-film-pkg-of-10.html
A-2733,56.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/56k-ohm-1w-5-carbon-film-resistor.html
A-2734,68.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/68k-ohm-1w-5-carbon-film-resistor.html
A-2735,75.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/75k-ohm-1w-5-carbon-film-resistor.html
A-2268,100.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-100k-ohm-1w-5-carbon-film-pkg-of-10.html
A-2736,150.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/150k-ohm-1w-5-carbon-film-resistor.html
A-2737,200.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/200k-ohm-1w-5-carbon-film-resistor.html
A-2738,240.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/240k-ohm-1w-5-carbon-film-resistor.html
A-2739,300.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/300k-ohm-1w-5-carbon-film-resistor.html
A-2740,330.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/330k-ohm-1w-5-carbon-film-resistor.html
A-2741,390.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/390k-ohm-1w-5-carbon-film-resistor.html
A-2742,470.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/470k-ohm-1w-5-carbon-film-resistor.html
A-2743,510.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/510k-ohm-1w-5-carbon-film-resistor.html
A-2744,680.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/680k-ohm-1w-5-carbon-film-resistor.html
A-2745,750.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/750k-ohm-1w-5-carbon-film-resistor.html
A-2746,820.0,K,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/820k-ohm-1w-5-carbon-film-resistor.html
A-2747,1.0,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/1m-ohm-1w-5-carbon-film-resistor.html
A-2748,2.0,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/2m-ohm-1w-5-carbon-film-resistor.html
A-2749,3.0,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/3m-ohm-1w-5-carbon-film-resistor.html
A-2750,4.7,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/4-7m-ohm-1w-5-carbon-film-resistor.html
A-2751,7.5,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/7-5m-ohm-1w-5-carbon-film-resistor.html
A-2752,10.0,M,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10m-ohm-1w-5-carbon-film-resistor.html
